% 1. Title: Activity Recognition Database
%
% 2. Sources:
%      Creator: Anil Hanoglu
%
% 3. Relevant Information:
%    --- This dataset is created in order to make predictions with gathered accelerometer sensor datum.
%    --- Predicted attribute: class of activity.
%
%
% 4. Number of Attributes: 6 numeric, predictive attributes and the class
%
% 5. Attribute Information:
%    1. mean on x axis
%    2. mean on y axis
%    3. mean on z axis
%    4. standard deviation on x axis
%    5. standard deviation on y axis
%    6. standard deviation on z axis
%    7. class:
%       -- Immobile
%       -- Walking
%       -- Jumping
%
% 6. Missing Attribute Values: None


@RELATION activity_recognition

@ATTRIBUTE meanx REAL
@ATTRIBUTE meany REAL
@ATTRIBUTE meanz REAL
@ATTRIBUTE stdx	REAL
@ATTRIBUTE stdy	REAL
@ATTRIBUTE stdz REAL
@ATTRIBUTE class 	{Immobile,Walking,Jumping}

@DATA
-1.2817597,9.565315,-0.9926358,2.6868138,7.477122,3.4438655,Walking
-2.1860013,9.48401,-0.23472747,3.6713903,5.9923816,3.9927585,Walking
-1.050097,9.958537,-0.15476106,2.2179844,6.696257,3.270773,Walking
-1.2619352,10.073174,-0.35166028,2.705558,5.4823537,3.8584712,Walking
-1.5842912,9.50527,-1.350425,2.211705,5.8543453,4.222352,Walking
-1.824861,8.198411,-2.46258,2.2419963,4.6457176,3.3937554,Walking
-1.7827225,8.067309,-0.865456,2.7933164,3.1665473,4.101001,Walking
-1.5284591,9.230791,-0.8309796,2.7779555,6.280373,4.5684443,Walking
-0.9119996,9.4709835,0.08082825,1.9857963,5.9284964,3.1071482,Walking
-1.263468,8.368885,-1.1039183,1.4287795,3.2978797,2.8437593,Walking
-1.5291295,9.590985,-1.7071617,2.0014272,4.630023,3.8867164,Walking
-1.6698112,9.022884,-1.5518247,2.2980216,6.958075,4.551274,Walking
-1.7137702,10.576341,-0.23185456,1.9548637,6.4915485,3.3863645,Walking
-1.3896905,8.865636,-2.0755816,1.7969347,6.007984,3.7629156,Walking
-1.4223473,8.982953,-1.2997639,1.732844,4.6272264,3.4147532,Walking
-0.9257894,9.07623,-1.7091722,1.8515264,6.431286,3.4115324,Walking
-1.0455,10.366222,-0.36487636,2.0468698,6.078495,3.0664961,Walking
-1.9105736,8.786145,-1.4754024,2.300885,5.5988646,3.9599836,Walking
-1.276014,9.965721,0.88307786,1.6762934,4.586542,2.7807133,Walking
-1.5193613,9.2058935,-1.9254167,2.3170726,3.824834,2.7991354,Walking
-0.7124188,9.047783,0.35510802,3.8416908,8.638854,3.0085123,Jumping
-1.4076948,7.0412555,-0.88202393,4.1202536,10.970106,5.6657968,Jumping
0.31344894,6.211134,0.63953894,4.130652,8.279896,5.579091,Jumping
-0.29601926,8.255206,-1.1338937,3.3874078,10.955716,5.6615853,Jumping
-0.8569322,10.076047,-2.0714626,4.7387776,11.253652,6.784424,Jumping
-0.3521388,12.642915,-3.6908047,2.606276,15.679983,6.476358,Jumping
-0.5291187,9.663962,-1.9047334,2.9386404,13.583937,6.238964,Jumping
-0.506996,9.95576,-1.3662277,2.387657,8.865105,9.830652,Jumping
-0.062249355,9.147578,-0.7967911,3.3417666,8.342261,3.4545662,Jumping
-0.115496255,10.678999,-0.71778166,3.263151,10.159037,5.533984,Jumping
-0.114155464,-0.12832913,9.747945,0.017327398,0.030223895,0.04408772,Immobile
-0.100939475,-0.11808196,9.754557,0.020956365,0.032023072,0.03836269,Immobile
-0.106589794,-0.12727569,9.758954,0.029600078,0.034854718,0.045041095,Immobile
-0.17008398,9.796496,0.038881823,0.040948443,0.04745726,0.036613483,Immobile
-0.17017975,9.781659,0.045202512,0.04114362,0.045080088,0.03013514,Immobile
-0.17851156,9.787496,0.05841849,0.042366296,0.045345902,0.040506627,Immobile
-0.1673067,9.798987,0.042233706,0.02480578,0.04544692,0.047713168,Immobile
-0.16424212,9.768813,0.051235892,0.0404131,0.047021482,0.04097653,Immobile
-9.898012,-0.086287,-0.13522442,0.0430726,0.042967644,0.04161847,Immobile
-9.904525,-0.08561662,-0.13579904,0.03346622,0.038755197,0.03011384,Immobile
-9.895997,-0.0901177,-0.14049168,0.030286169,0.042486828,0.060781464,Immobile
-9.893322,-0.085616596,-0.1463335,0.045695983,0.031930298,0.049133405,Immobile
-9.89849,-0.079678975,-0.14259857,0.036645364,0.037627943,0.028663142,Immobile
9.738653,0.029879622,0.15887912,0.036929708,0.029835407,0.0378519,Immobile
9.717492,0.027389657,0.14211972,0.03685996,0.032022066,0.05432203,Immobile
9.738458,0.007278377,0.15571877,0.049601525,0.03614201,0.05188509,Immobile
9.71998,0.022505498,0.14298162,0.042686645,0.035223268,0.051966965,Immobile
9.727926,0.035913,0.15705952,0.06150929,0.026621973,0.04348755,Immobile
-0.023558943,-9.879337,0.06713339,0.034220725,0.04220521,0.05017543,Immobile
-0.023558946,-9.838825,0.07517788,0.044290423,0.0548228,0.04270815,Immobile
-0.00995988,-9.860951,0.07795516,0.042201456,0.03772955,0.044735488,Immobile
-0.025378533,-9.874836,0.06483494,0.031278938,0.03697387,0.041254934,Immobile
-0.23606813,-0.04750094,-9.840455,0.028292133,0.034367796,0.041666325,Immobile
-0.21748915,-0.053342797,-9.829637,0.036374092,0.0358908,0.042978384,Immobile
-0.23855807,-0.055449687,-9.836533,0.03758442,0.037369065,0.024048258,Immobile
-0.21863835,-0.03390188,-9.828864,0.037656594,0.028261168,0.035701808,Immobile
